sensor_index,name,location_type,latitude,longitude
75449,A4:CF:12:FE:4:42,0,34.001537,-118.45701
85359,Hollywoodland,0,34.121635,-118.32282
84069,Tarzana-Aleman,0,34.147762,-118.564156
20704,Mt. Washington School,0,34.105556,-118.21524
87181,Granada Hills,0,34.304108,-118.51413
42251,HW Upper School,0,34.14062,-118.41295
87355,"Encino, Luverne Pl",0,34.14827,-118.5075
489,CCA Lakme an Q,0,33.79555,-118.26094
29697,CSUN Live Oak,0,34.23818,-118.528336
42081,Butterfield,0,34.03872,-118.41668
32961,Kentwood South,0,33.963356,-118.406586
83089,Hancock Park,0,34.075016,-118.3376
29201,CCA La Kretz Innovation Center LACI,0,34.041237,-118.23559
64765,Riverwood ranch,0,34.275894,-118.318
36717,Village Green,0,34.020527,-118.36168
30391,CCA 23rd and Meyler,0,33.723373,-118.29684
